004048e0	Identity_Pass	returns param1 unchanged; thunk or identity wrapper
004159a0	Flags_Initialize	sets *(param+4)=0xff and *(param+0x26)=0; simple flag init
0042a58d	RBTree_GetMaxNode_Wrapper1	calls RBTree::GetMaxNode; assignment wrapper
0042a59e	RBTree_GetMaxNode_Wrapper2	calls RBTree::GetMaxNode; identical to 0042a58d
0042a5af	RBTree_GetMaxNode_Wrapper3	calls RBTree::GetMaxNode; identical pattern
0042a5c0	RBTree_GetMaxNode_Wrapper4	calls RBTree::GetMaxNode; identical pattern
0042a5d1	RBTree_GetMaxNode_Wrapper5	calls RBTree::GetMaxNode; identical pattern
0042a5e2	RBTree_GetMaxNode_Wrapper6	calls RBTree::GetMaxNode; identical pattern
0042d9d0	InitializeToInvalid	__fastcall sets param to 0xffffffff; marker initialization
0043368c	NullFunction_1	Empty function; no-op stub
004368e0	STL_DoublyLinkedListNode_Allocate_0xc	__fastcall malloc(0xc), circular list init; intrusive list node allocator
004369e0	STL_DoublyLinkedListNode_Allocate_0xc_2	__fastcall malloc(0xc), circular list init; intrusive list node allocator
0043fc20	STL_DoublyLinkedListNode_Allocate_0x20	__fastcall malloc(0x20), circular list init; intrusive list node allocator
0043fc40	STL_DoublyLinkedListNode_Allocate_0x18	__fastcall malloc(0x18), circular list init; intrusive list node allocator
00440c90	STL_DoublyLinkedListNode_Allocate_0x20_2	__fastcall malloc(0x20), circular list init; intrusive list node allocator
00440cd0	STL_DoublyLinkedListNode_Allocate_0x18_2	__fastcall malloc(0x18), circular list init; intrusive list node allocator
0044b950	STL_DoublyLinkedListNode_Allocate_0xc_3	__fastcall malloc(0xc), circular list init; intrusive list node allocator
0044b9f0	STL_DoublyLinkedListNode_Allocate_0xc_4	__fastcall malloc(0xc), circular list init; intrusive list node allocator
0044c6af	NullFunction_2	Empty function; no-op stub
004c5c40	List_AllocNode_12bytes	Allocates 0x18, self-referential pointers at [0] and [4] indicate doubly-linked list node initialization
004c6680	Container_AllocBuffer_28bytes	Allocates 0x1c bytes with no visible initialization; generic buffer allocator wrapper
004c67d0	List_AllocInit_28bytes	Allocates 0x1c, initializes self-pointers at +8 and +0xc indicating linked list head with count at param_1[1]
004c6af0	List_AllocInit_28bytes_v2	Identical to 004c67d0 - allocates 0x1c with linked list self-pointer init
004c72a0	Stub_NoOp	Empty function body; trivial stub with no implementation
004cc200	List_AllocNode_12bytes_v2	Allocates 0xc with self-pointers at [0] and [4]; minimal linked list node
004cc260	Container_AllocNode_20bytes	Allocates 0x14 with self-pointers at [0] and [4]; container node initialization
004ccc10	Container_AllocNode_20bytes_v2	Allocates 0x14 with self-pointers at [0] and [4]; container node variant
004fe7f0	Sound_ProcessThemeParticles	complex fastcall with malloc/free, processes SOUND_THEME string, builds particle arrays, tree construction/traversal, particle morph processing
00507070	LText_LoadAndProcessEntries	complex thiscall, massive vector/tree manipulation, uninitialized_copy, tree traversal, binary search tree insertion, loads localized text entries
005155f0	StdList_InitializeEmpty_Extended	Allocates 0x18 block, initializes at param_1+8, self-linked structure same pattern as 005150c0 but for a container member
005159a0	StdList_InitializeEmpty_Container	Allocates 0x14 (20-byte) block, initializes doubly-linked list (offsets 8 and 0xc point to itself)
00516e80	StdList_InitializeEmpty_Sentinel	Allocates 0xc, self-linked structure (0xc doubly-linked sentinel), fastcall wrapper
00517810	StdList_InitializeContainer_0x14	Allocates 0x14, initializes doubly-linked list structure at offsets 8/0xc
0051a040	StdList_InitializeContainer_Extended	Allocates 0x14, initializes list structure, additional fields at offsets 3-6 cleared
005283a0	StdList_InitializeEmpty_0x10	Allocates 0x10 (16-byte), self-linked doubly-linked list sentinel
00528410	Container_Allocate_0x28	Allocates fixed 0x28 block, no further initialization visible
00528480	Container_Allocate_0x20_Variant1	Allocates fixed 0x20 block, no further initialization visible
005284b0	Container_Allocate_0x20_Variant2	Allocates fixed 0x20 block, no further initialization visible
00528520	Container_Allocate_0x24	Allocates fixed 0x24 block, no further initialization visible
00528590	Container_Allocate_0x20_Variant3	Allocates fixed 0x20 block, no further initialization visible
00528c20	StdList_InitializeEmpty_0x10_Variant2	Allocates 0x10, self-linked doubly-linked list
00528c60	StdList_InitializeContainer_0x28	Allocates 0x28 (40-byte), initializes doubly-linked list at offsets 8/0xc
