# forge-autoname tranche 2 (wf_cd2724dd-8f1, 2026-07-21)
00c20720	EmptyStub	[forge-autoname2 conf=high <- wf] No params, no callees, just returns; 48 diverse callers—clear placeholder function.
00ad3a10	TreeNode_CopyConstructor	[forge-autoname2 conf=medium <- wf] Thiscall with malloc, TreeNode_DeepCopySmall call, linked-list structure (offsets 4,8,0xc)—copy semantics evident.
00cad460	COM_QueryInterface_Wrapper	[forge-autoname2 conf=medium <- wf] Vtable 0x18 call, vtable 0 call, HRESULT 0x80004001 return—COM pattern confirmed.
005812df	DeserializeStdMap_WithPairs	[forge-autoname2 conf=medium <- wf] Generic template deserializer for std::map pairs, not specifically CTCHeroStats; name overstates class specificity.
0042b687	LinkedList_PushFront	[forge-autoname2 conf=high <- wf] Calls LinkedList_Insert_Before with front insertion pattern—clear push_front wrapper.
00cad400	COM_QueryInterface_Wrapper2	[forge-autoname2 conf=medium <- wf] Identical pattern to 00cad460 with different global data—variant confirmed.
00533b50	Container_PushElement	[forge-autoname2 conf=medium <- wf] Vector bounds check, reallocation, refcount management—generic container push semantics.
00568850	Vector_PushElement	[forge-autoname2 conf=medium <- wf] Vector pattern (offset 4=current, 8=end), insertion logic—standard vector append.
005f9bcd	Vector_PushElement_OrReallocate	[forge-autoname2 conf=medium <- wf] Capacity check, realloc call, element append—vector push_back with reallocation.
00c2d9c0	Accessor_GetAndSetEnvironmentBounds	[forge-autoname2 conf=medium <- wf] Calls SetDrawEnvironmentBounds, not just getter; name implies read-only but evidence shows modification.
00c2dbe0	TeleportData_Destructor_WithUnwind	[forge-autoname2 conf=high <- wf] Exception handler, map destruction, CCharStringData release in loop—destructor with SEH.
00c8bab0	Indexed_GetElementOffsetSafe	[forge-autoname2 conf=medium <- wf] Bounds check, clamping at offset 0x60, offset calculation = index * 0x20 + base.
00440590	Buffer_Relocate	[forge-autoname2 conf=medium <- wf] Memmove data, updates pointers—in-place buffer compaction.
00513940	RedBlackTree_InsertNode	[forge-autoname2 conf=high <- wf] Malloc 0x14 node, BalanceTree call, tree pointer setup (offsets 4,8,0xc), count increment.
00798330	IcicleAssault_FindInsertionPoint	[forge-autoname2 conf=medium <- wf] Binary search tree, CIcicleData construction, return ptr+5—class-specific insertion search.
00c6e290	Filter_ApplyTransformSSE_16	[forge-autoname2 conf=medium <- wf] SIMD pmulhw/paddsw on 16-bit SSE values, transform matrix accumulation.
00c6f800	Filter_ApplyTransformSSE_64	[forge-autoname2 conf=medium <- wf] SIMD on 64-bit types, pmulhw/paddsw, processes 2 params per loop.
0056a680	Scoreboard_LookupOrCreateEntry	[forge-autoname2 conf=medium <- wf] Binary search tree with callers DownloadScoreboardForSelectedClan/DisplayScoreboardGUI, entry+5 return.
006d72d0	BSTInterval_FindNode	[forge-autoname2 conf=medium <- wf] Binary search tree interval search, not specifically BlockParryData; name overstates class specificity.
006e8850	Array_SumFloatsStride	[forge-autoname2 conf=medium <- wf] Iterates array with 0x1c stride, sums float at offset 0xc, unrolled loop of 4.
0075fe30	Polygon_TestPointInside	[forge-autoname2 conf=medium <- wf] Edge vectors, cross-product test via dot/cross operations—point-in-polygon check.
008894a0	LargeStruct_CopyWithNestedArrays	[forge-autoname2 conf=medium <- wf] Copies 0x4c dwords, then nested arrays; CFeatDef class claim not evident, generic large-struct copy.
008ac060	Position_FilterNearbyThenFind	[forge-autoname2 conf=medium <- wf] Calls find-closest, then _Find_if with negated filter—two-pass proximity filter.
009d2dd0	StringMap_FindNode	[forge-autoname2 conf=high <- wf] Binary search tree with std::less<CCharString> comparison, standard tree node search.
009ebb30	Vector_PushElementOrReallocate	[forge-autoname2 conf=medium <- wf] Capacity check, VectorInsertElementRange call if full, element append.
00a537f0	SharedPtr_Copy	[forge-autoname2 conf=high <- wf] Reads refcount, increments, assigns—shared pointer copy-constructor semantics.
00a5e0a0	Vector_CopyConstructor_Pair64	[forge-autoname2 conf=medium <- wf] Copies 8-byte pairs, malloc, source-to-dest copy.
00ab3300	Vector_ReallocateAndInsert	[forge-autoname2 conf=medium <- wf] Size calculation, inserts param_5 copies of param_3, malloc/free.
