x,y,height,theme,strength
0,0,51.0525,GROUND_SPOOKYGROUND,255
1,0,48,GROUND_SPOOKYGROUND,255
2,0,48,GROUND_SPOOKYGROUND,255
3,0,48,GROUND_SPOOKYGROUND,255
4,0,48,GROUND_SPOOKYGROUND,255
5,0,48,GROUND_SPOOKYGROUND,255
6,0,48,GROUND_SPOOKYGROUND,255
7,0,48,GROUND_SPOOKYGROUND,255
8,0,48,GROUND_SPOOKYGROUND,255
9,0,48,GROUND_SPOOKYGROUND,255
10,0,48,GROUND_SPOOKYGROUND,255
11,0,48,GROUND_SPOOKYGROUND,255
12,0,48,GROUND_SPOOKYGROUND,255
13,0,48,GROUND_SPOOKYGROUND,255
14,0,48,GROUND_SPOOKYGROUND,255
15,0,48,GROUND_SPOOKYGROUND,255
16,0,48,GROUND_SPOOKYGROUND,255
17,0,48,GROUND_SPOOKYGROUND,255
18,0,48,GROUND_SPOOKYGROUND,255
19,0,48,GROUND_SPOOKYGROUND,255
20,0,48,GROUND_SPOOKYGROUND,255
21,0,48,GROUND_SPOOKYGROUND,255
22,0,48,GROUND_SPOOKYGROUND,255
23,0,48,GROUND_SPOOKYGROUND,255
24,0,48,GROUND_SPOOKYGROUND,255
25,0,48,GROUND_SPOOKYGROUND,255
26,0,48,GROUND_SPOOKYGROUND,255
27,0,48,GROUND_SPOOKYGROUND,255
28,0,48,GROUND_SPOOKYGROUND,255
29,0,48,GROUND_SPOOKYGROUND,255
30,0,48,GROUND_SPOOKYGROUND,255
31,0,48,GROUND_SPOOKYGROUND,255
32,0,48,GROUND_SPOOKYGROUND,255
33,0,48,GROUND_SPOOKYGROUND,255
34,0,48,GROUND_SPOOKYGROUND,255
35,0,48,GROUND_SPOOKYGROUND,255
36,0,48,GROUND_SPOOKYGROUND,255
37,0,48,GROUND_SPOOKYGROUND,255
38,0,48,GROUND_SPOOKYGROUND,255
39,0,48,GROUND_SPOOKYGROUND,255
40,0,48,GROUND_SPOOKYGROUND,255
41,0,48,GROUND_SPOOKYGROUND,255
42,0,48,GROUND_SPOOKYGROUND,255
43,0,48,GROUND_SPOOKYGROUND,255
44,0,48,GROUND_SPOOKYGROUND,255
45,0,48,GROUND_SPOOKYGROUND,255
46,0,48,GROUND_SPOOKYGROUND,255
47,0,48,GROUND_SPOOKYGROUND,255
48,0,48,GROUND_SPOOKYGROUND,255
49,0,48,GROUND_SPOOKYGROUND,255
50,0,48,GROUND_SPOOKYGROUND,255
51,0,48,GROUND_SPOOKYGROUND,255
52,0,48,GROUND_SPOOKYGROUND,255
53,0,48,GROUND_SPOOKYGROUND,255
54,0,48,GROUND_SPOOKYGROUND,255
55,0,48,GROUND_SPOOKYGROUND,255
56,0,48,GROUND_SPOOKYGROUND,255
57,0,48,GROUND_SPOOKYGROUND,255
58,0,48,GROUND_SPOOKYGROUND,255
59,0,48,GROUND_SPOOKYGROUND,255
60,0,48,GROUND_SPOOKYGROUND,255
61,0,48,GROUND_SPOOKYGROUND,255
62,0,48,GROUND_SPOOKYGROUND,255
63,0,49.847,GROUND_SPOOKYGROUND,255
64,0,52.5842,GROUND_SPOOKYTREES,255
0,1,51.2256,GROUND_SPOOKYGROUND,255
1,1,49.1969,GROUND_SPOOKYGROUND,255
2,1,49.1969,GROUND_SPOOKYGROUND,255
3,1,49.1969,GROUND_SPOOKYGROUND,255
4,1,49.1969,GROUND_SPOOKYGROUND,255
5,1,49.1969,GROUND_SPOOKYGROUND,255
6,1,48.71,GROUND_SPOOKYGROUND,255
7,1,48.6108,GROUND_SPOOKYGROUND,255
8,1,48.6079,GROUND_SPOOKYGROUND,255
9,1,48.6859,GROUND_SPOOKYGROUND,255
10,1,48.6833,GROUND_SPOOKYGROUND,255
11,1,49.0237,GROUND_SPOOKYGROUND,255
12,1,49.2976,GROUND_SPOOKYGROUND,255
13,1,49.3506,GROUND_SPOOKYGROUND,255
14,1,49.4241,GROUND_SPOOKYGROUND,255
15,1,49.426,GROUND_SPOOKYGROUND,255
16,1,49.4111,GROUND_SPOOKYGROUND,255
17,1,49.391,GROUND_SPOOKYGROUND,255
18,1,49.3703,GROUND_SPOOKYGROUND,255
19,1,49.3518,GROUND_SPOOKYGROUND,255
20,1,49.3382,GROUND_SPOOKYGROUND,255
21,1,49.3306,GROUND_SPOOKYGROUND,255
22,1,49.3257,GROUND_SPOOKYGROUND,255
23,1,49.3247,GROUND_SPOOKYGROUND,255
24,1,49.3366,GROUND_SPOOKYGROUND,255
25,1,49.3011,GROUND_SPOOKYGROUND,255
26,1,49.2632,GROUND_SPOOKYGROUND,255
27,1,49.2174,GROUND_SPOOKYGROUND,255
28,1,49.328,GROUND_SPOOKYGROUND,255
29,1,49.3515,GROUND_SPOOKYGROUND,255
30,1,49.6784,GROUND_SPOOKYGROUND,255
31,1,49.9123,GROUND_SPOOKYGROUND,255
32,1,49.8783,GROUND_SPOOKYGROUND,255
33,1,49.9865,GROUND_SPOOKYGROUND,255
34,1,49.7289,GROUND_SPOOKYGROUND,255
35,1,49.8252,GROUND_SPOOKYGROUND,255
36,1,49.6912,GROUND_SPOOKYGROUND,255
37,1,49.6137,GROUND_SPOOKYGROUND,255
38,1,49.7186,GROUND_SPOOKYGROUND,255
39,1,49.6314,GROUND_SPOOKYGROUND,255
40,1,49.3991,GROUND_SPOOKYGROUND,255
41,1,49.4187,GROUND_SPOOKYGROUND,255
42,1,49.7268,GROUND_SPOOKYGROUND,255
43,1,49.6396,GROUND_SPOOKYGROUND,255
44,1,49.7218,GROUND_SPOOKYGROUND,255
45,1,49.7127,GROUND_SPOOKYGROUND,255
46,1,49.5983,GROUND_SPOOKYGROUND,255
47,1,49.6707,GROUND_SPOOKYGROUND,255
48,1,49.6551,GROUND_SPOOKYGROUND,255
49,1,49.6429,GROUND_SPOOKYGROUND,255
50,1,50.379,GROUND_SPOOKYGROUND,255
51,1,50.3689,GROUND_SPOOKYGROUND,255
52,1,50.3643,GROUND_SPOOKYGROUND,255
53,1,50.3654,GROUND_SPOOKYGROUND,255
54,1,50.3719,GROUND_SPOOKYGROUND,255
55,1,50.3836,GROUND_SPOOKYGROUND,255
56,1,50.4347,GROUND_SPOOKYGROUND,255
57,1,50.4927,GROUND_SPOOKYGROUND,255
58,1,50.5252,GROUND_SPOOKYGROUND,255
59,1,50.567,GROUND_SPOOKYGROUND,255
60,1,50.6181,GROUND_SPOOKYGROUND,255
61,1,50.687,GROUND_SPOOKYGROUND,255
62,1,51.1141,GROUND_SPOOKYGROUND,255
63,1,51.9305,GROUND_SPOOKYGROUND,255
64,1,52.5973,GROUND_SPOOKYTREES,255
0,2,51.201,GROUND_SPOOKYGROUND,255
1,2,49.1969,GROUND_SPOOKYGROUND,255
2,2,49.1969,GROUND_SPOOKYGROUND,255
3,2,49.1969,GROUND_SPOOKYGROUND,255
4,2,49.1969,GROUND_SPOOKYGROUND,255
5,2,49.1983,GROUND_SPOOKYGROUND,255
6,2,49.1969,GROUND_SPOOKYGROUND,255
7,2,49.1008,GROUND_SPOOKYGROUND,255
8,2,49.0758,GROUND_SPOOKYGROUND,255
9,2,49.1969,GROUND_SPOOKYGROUND,255
10,2,49.4434,GROUND_SPOOKYGROUND,255
11,2,49.9463,GROUND_SPOOKYGROUND,255
12,2,50.1994,GROUND_SPOOKYGROUND,255
13,2,50.2883,GROUND_SPOOKYGROUND,255
14,2,50.3746,GROUND_SPOOKYGROUND,255
15,2,50.3873,GROUND_SPOOKYGROUND,255
16,2,50.3565,GROUND_SPOOKYGROUND,255
17,2,50.3,GROUND_SPOOKYGROUND,255
18,2,50.2568,GROUND_SPOOKYGROUND,255
19,2,50.2202,GROUND_SPOOKYGROUND,255
20,2,50.196,GROUND_SPOOKYGROUND,255
21,2,50.1825,GROUND_SPOOKYGROUND,255
22,2,50.1778,GROUND_SPOOKYGROUND,255
23,2,50.1808,GROUND_SPOOKYGROUND,255
24,2,50.1375,GROUND_SPOOKYGROUND,255
25,2,50.2939,GROUND_SPOOKYGROUND,255
26,2,50.2505,GROUND_SPOOKYGROUND,255
27,2,50.153,GROUND_SPOOKYGROUND,255
28,2,50.4239,GROUND_SPOOKYGROUND,255
29,2,50.4982,GROUND_SPOOKYGROUND,255
30,2,50.7979,GROUND_SPOOKYGROUND,255
31,2,51.0899,GROUND_SPOOKYGROUND,255
32,2,51.3459,GROUND_SPOOKYGROUND,255
33,2,51.3059,GROUND_SPOOKYGROUND,255
34,2,51.2813,GROUND_SPOOKYGROUND,255
35,2,51.2994,GROUND_SPOOKYGROUND,255
36,2,50.7983,GROUND_SPOOKYGROUND,255
37,2,50.8573,GROUND_SPOOKYGROUND,255
38,2,50.6175,GROUND_SPOOKYGROUND,255
39,2,50.5952,GROUND_SPOOKYGROUND,255
40,2,50.579,GROUND_SPOOKYGROUND,255
41,2,50.576,GROUND_SPOOKYGROUND,255
42,2,50.4368,GROUND_SPOOKYGROUND,255
43,2,50.5271,GROUND_SPOOKYGROUND,255
44,2,50.5374,GROUND_SPOOKYGROUND,255
45,2,50.614,GROUND_SPOOKYGROUND,255
46,2,50.4519,GROUND_SPOOKYGROUND,255
47,2,50.4483,GROUND_SPOOKYGROUND,255
48,2,50.4308,GROUND_SPOOKYGROUND,255
49,2,50.5004,GROUND_SPOOKYGROUND,255
50,2,50.7044,GROUND_SPOOKYGROUND,255
51,2,50.6845,GROUND_SPOOKYGROUND,255
52,2,50.6756,GROUND_SPOOKYGROUND,255
53,2,50.6782,GROUND_SPOOKYGROUND,255
54,2,50.6725,GROUND_SPOOKYGROUND,255
55,2,50.6912,GROUND_SPOOKYGROUND,255
56,2,50.725,GROUND_SPOOKYGROUND,255
57,2,50.7934,GROUND_SPOOKYGROUND,255
58,2,50.9115,GROUND_SPOOKYGROUND,255
59,2,50.9789,GROUND_SPOOKYGROUND,255
60,2,51.0564,GROUND_SPOOKYGROUND,255
61,2,51.1573,GROUND_SPOOKYGROUND,255
62,2,51.4811,GROUND_SPOOKYGROUND,255
63,2,52,GROUND_SPOOKYGROUND,255
64,2,52.6082,GROUND_SPOOKYTREES,255
0,3,50.1972,GROUND_SPOOKYGROUND,255
1,3,49.1969,GROUND_SPOOKYGROUND,255
2,3,49.1969,GROUND_SPOOKYGROUND,255
3,3,49.1969,GROUND_SPOOKYGROUND,255
4,3,49.2342,GROUND_SPOOKYGROUND,255
5,3,49.2578,GROUND_SPOOKYGROUND,255
6,3,49.2683,GROUND_SPOOKYGROUND,255
7,3,49.2815,GROUND_SPOOKYGROUND,255
8,3,49.3893,GROUND_SPOOKYGROUND,255
9,3,49.5109,GROUND_SPOOKYGROUND,255
10,3,50.0133,GROUND_SPOOKYGROUND,255
11,3,50.5848,GROUND_SPOOKYGROUND,255
12,3,51.0312,GROUND_SPOOKYGROUND,255
13,3,51.1226,GROUND_SPOOKYGROUND,255
14,3,51.1735,GROUND_SPOOKYGROUND,255
15,3,51.1237,GROUND_SPOOKYGROUND,255
16,3,51.0993,GROUND_SPOOKYGROUND,255
17,3,51.0253,GROUND_SPOOKYGROUND,255
18,3,50.9499,GROUND_SPOOKYGROUND,255
19,3,50.7589,GROUND_SPOOKYGROUND,255
