category	address	name
archives_formats	01884d30	?ApplyNewProfileValues@CUserProfileManager@@QAEXXZ
archives_formats	01898c20	??0?$CPersistContext_TransferableVector@VCActionInputControl@@@@QAE@AAV?$vector@VCActionInputControl@@V?$allocator@VCActionInputControl@@@std@@@std@@@Z
archives_formats	01898c60	?Size@?$CPersistContext_TransferableVector@VCActionInputControl@@@@EAEJXZ
archives_formats	01898c80	?Resize@?$CPersistContext_TransferableVector@VCActionInputControl@@@@EAEXJ@Z
archives_formats	01898e90	?TransferIn@?$CPersistContext_TransferableVector@VCActionInputControl@@@@EAEXAAVCPersistContext@@AAVCStringParser@@J@Z
archives_formats	0189a030	?TransferOut@?$CPersistContext_TransferableVector@VCActionInputControl@@@@EAEXAAVCPersistContext@@AAVCCharString@@J@Z
archives_formats	0189a980	??0?$CPersistContext_TransferableVector@W4ETutorialCategory@@@@QAE@AAV?$vector@W4ETutorialCategory@@V?$allocator@W4ETutorialCategory@@@std@@@std@@@Z
archives_formats	0189a9c0	?Size@?$CPersistContext_TransferableVector@W4ETutorialCategory@@@@EAEJXZ
archives_formats	0189a9e0	?Resize@?$CPersistContext_TransferableVector@W4ETutorialCategory@@@@EAEXJ@Z
archives_formats	0189aa60	?TransferIn@?$CPersistContext_TransferableVector@W4ETutorialCategory@@@@EAEXAAVCPersistContext@@AAVCStringParser@@J@Z
archives_formats	0189aaf0	?TransferOut@?$CPersistContext_TransferableVector@W4ETutorialCategory@@@@EAEXAAVCPersistContext@@AAVCCharString@@J@Z
archives_formats	0189ab80	??0CPersistContext_TransferableVectorGenericType@@QAE@XZ
archives_formats	018a3b50	??0CConsoleVariable@@QAE@ABVCCharString@@AAM@Z
archives_formats	018a3d00	??0CConsoleVariable@@QAE@ABVCCharString@@AA_N@Z
archives_formats	018a3e00	??0CConsoleVariable@@QAE@ABVCCharString@@AAJ@Z
archives_formats	018a3f00	?GetTypeAsString@CConsoleVariable@@EBE?AVCCharString@@XZ
archives_formats	018a3f40	??_GCConsoleVariable@@UAEPAXI@Z
archives_formats	018a3f80	??1CConsoleVariable@@UAE@XZ
archives_formats	018b90f0	??0?$CPersistContext_TransferableVector@VCCharString@@@@QAE@AAV?$vector@VCCharString@@V?$allocator@VCCharString@@@std@@@std@@@Z
archives_formats	018b9130	?Size@?$CPersistContext_TransferableVector@VCCharString@@@@EAEJXZ
