00ad3010	StdTreeMap_Construct_ad3010	medium	malloc + node[+8]/[+0xc]=self head-node with size field param_1[1]=0 = std::_Tree ctor (0x1c node)
00ad3150	StdTreeMap_Construct_ad3150	medium	same _Tree head-node ctor pattern, malloc 0x20
00ad3960	StdTreeMap_Construct_ad3960	medium	same _Tree head-node ctor pattern, malloc 0x18
00ad39a0	LTextBinTree_Destroy_ad39a0	high	typed LTextTreeWalkThrough; calls LTextBinTree<LTextGroup*>::BuildTreeArray then resets head and frees = tree clear/destruct
00ad49c0	StdTreeMap_Construct_ad49c0	medium	same _Tree head-node ctor pattern, malloc 0x14
00ad4f30	StdTreeMap_Destruct_ad4f30	medium	calls Utility_DestroyRefcountedTreeNode on root then frees head = std::_Tree destructor
00ad5dc0	StdTreeMap_Construct_ad5dc0	medium	same _Tree head-node ctor pattern, malloc 0x20
00ad5e00	StdTreeMap_Destruct_ad5e00	medium	calls Utility_DestroyRefcountedTreeNode then free = _Tree destructor
00ad5f00	StdTreeMap_Destruct_ad5f00	medium	calls Utility_DestroyRefcountedTreeNode then free = _Tree destructor
00ad6610	StdTreeMap_Construct_ad6610	medium	same _Tree head-node ctor pattern, malloc 0x1c
00ad6650	StdTreeMap_Destruct_ad6650	medium	calls Utility_DestroyRefcountedTreeNode then free = _Tree destructor
00ad6810	StdTreeMap_Destruct_ad6810	medium	calls TreeNode_DestructWithRefcount on root then free = _Tree destructor
00ad72c0	StdTreeMap_Construct_ad72c0	medium	same _Tree head-node ctor pattern, malloc 0x20
00ad7300	StdTreeMap_Destruct_ad7300	medium	calls TreeNode_DestructWithRefcount then free = _Tree destructor
00adb180	StdList_Construct_adb180	medium	malloc 0x20; node->next=node, node->prev=node = std::list head-node ctor
00adb240	Object_AllocateBuffer_adb240	low	minimal *param_1=malloc(0x1c) with no field init; type unknown
00adb5a0	StdTreeMap_Construct_adb5a0	medium	same _Tree head-node ctor pattern, malloc 0x1c
00adb890	StdTreeMap_Construct_adb890	medium	same _Tree head-node ctor pattern, malloc 0x1c
