006f0af0	ObjHolder_AllocStore_0x20_006f0af0	low	Zeroes holder then stores malloc(0x20) pointer; opaque object-holder ctor, no callers/type context
006f0b60	ObjHolder_AllocStore_0x88_006f0b60	low	Zeroes holder then stores malloc(0x88) pointer; opaque object-holder ctor
006f0b90	ObjHolder_AllocStore_0x18_006f0b90	low	Zeroes holder then stores malloc(0x18) pointer; opaque object-holder ctor
006f0c00	ObjHolder_AllocStore_0x18_006f0c00	low	Zeroes holder then stores malloc(0x18) pointer; opaque object-holder ctor
006f18f0	ListHead_InitCircular_0xc_006f18f0	medium	malloc(0xc) node with next/prev self-linked = empty circular-list head init
006f1a50	TreeHeader_InitSentinel_0x20_006f1a50	medium	malloc(0x20), size=0 (param_1[1]), node [0]=[4]=0, [8]=[c]=self: RB-tree/list header sentinel init
006f1ae0	TreeHeader_InitSentinel_0x88_006f1ae0	medium	malloc(0x88) header-sentinel init (size=0, left/right self-linked)
006f1b20	TreeHeader_InitSentinel_0x18_006f1b20	medium	malloc(0x18) header-sentinel init (size=0, left/right self-linked)
006f1b60	TreeHeader_InitSentinel_0x18_006f1b60	medium	malloc(0x18) header-sentinel init (size=0, left/right self-linked)
006f23a0	TreeHeader_InitSentinel_0x20_006f23a0	medium	malloc(0x20) header-sentinel init (size=0, left/right self-linked)
006f8aa0	Func_IdentityReturnArg	medium	3-byte function returns its single argument unchanged (identity/getter thunk)
00718e80	ListHead_InitCircular_0x10_00718e80	medium	malloc(0x10) node with next/prev self-linked = empty circular-list head init
00718ea0	ListHead_InitCircular_0x10_00718ea0	medium	malloc(0x10) node with next/prev self-linked = empty circular-list head init
00719180	ListHead_InitCircular_0x10_00719180	medium	malloc(0x10) node with next/prev self-linked = empty circular-list head init
00719690	ListHead_InitCircular_0x10_00719690	medium	malloc(0x10) node with next/prev self-linked = empty circular-list head init
0071f860	ObjHolder_AllocStore_0x34_0071f860	low	Zeroes holder then stores malloc(0x34) pointer; opaque object-holder ctor
007298e0	ListHead_InitCircular_0x1c_007298e0	medium	malloc(0x1c) node with next/prev self-linked = empty circular-list head init
00729940	ListHead_InitCircular_0x1c_00729940	medium	malloc(0x1c) node with next/prev self-linked = empty circular-list head init
0072d480	ListHead_InitCircular_0x1c_0072d480	medium	malloc(0x1c) node with next/prev self-linked = empty circular-list head init
0072d8f0	ListHead_InitCircular_0x1c_0072d8f0	medium	malloc(0x1c) node with next/prev self-linked = empty circular-list head init
00737f50	ObjHolder_AllocStore_0x24_00737f50	low	Zeroes holder then stores malloc(0x24) pointer; opaque object-holder ctor
0073db00	ListHead_InitCircular_0x10_0073db00	medium	malloc(0x10) node with next/prev self-linked = empty circular-list head init
00743200	ListHead_InitCircular_0x10_00743200	medium	malloc(0x10) node with next/prev self-linked = empty circular-list head init
00755e50	ObjHolder_AllocStore_0x1c_00755e50	low	Zeroes holder then stores malloc(0x1c) pointer; opaque object-holder ctor
00758ae0	ListHead_InitCircular_0x4c_00758ae0	medium	malloc(0x4c) node with next/prev self-linked = empty circular-list head init
00758d90	ListHead_InitCircular_0x4c_00758d90	medium	malloc(0x4c) node with next/prev self-linked = empty circular-list head init
0075f780	ListHead_InitCircular_0xc_0075f780	medium	malloc(0xc) node with next/prev self-linked = empty circular-list head init
0075f830	ObjHolder_FreeAndDelete_0075f830	high	Null-checks then free(*param_1) and operator_delete(param_1): holder destructor
007602f0	Math_PolygonAngleSumClosureCheck	low	Loops a 0xc-stride array summing _CIacos results * const, compares squared deviation to epsilon; angle-sum/closure geometry test
007695f0	ObjHolder_AllocStore_0x20_007695f0	low	Zeroes holder then stores malloc(0x20) pointer; opaque object-holder ctor
00769f30	TreeHeader_InitSentinel_0x20_00769f30	medium	malloc(0x20) header-sentinel init (size=0, left/right self-linked)
