008697f0	PtrHolder_Alloc_sz18_008697f0	low	Zeroes *param_1, malloc(0x18), stores ptr; opaque allocate-and-store ctor, no field init reveals role
0086c5c0	CPersistInfo_InsertionSortStep_0086c5c0	medium	Calls _Move_backward<pair<u64,CRuntimeScriptedEntityPersist::CPersistInfo>> and std__pair_insertion_sort_shift; insertion-sort shift step for pair sequence
0086f600	PriorityQueue_PushSift_0086f600	medium	Appends 0xc-byte element via Vector_Reallocate at (this+4), then toggles flag +0xd and calls std__make_heap_Sift_3 = heap/priority_queue push
0086fa00	CPersistInfo_InsertionSortStep_0086fa00	medium	Identical to 0086c5c0: _Move_backward<pair<u64,CPersistInfo>> + pair_insertion_sort_shift insertion-sort shift step
008702d0	Handle_InitInvalid_008702d0	low	Sets *p=0xffffffff, p[1]=0, byte=0; initializes a handle/id struct to invalid sentinel
008709c0	CWorldDriver_FindClosestMeshVolume_DefaultCall_008709c0	medium	Thin wrapper zeroing a local then calling CWorldDriver_FindClosestMeshVolume(local,&out)
00874ca0	ListSentinel_Ctor_sz10_00874ca0	medium	malloc(0x10); node.next=node.prev=node (self-ref +0/+4) = empty circular doubly-linked list sentinel
00874d30	ListSentinel_Ctor_sz10_00874d30	medium	malloc(0x10) with self-referential next/prev = empty circular list sentinel ctor
00876e10	Vector_ComputePotentialGradient_00876e10	medium	Walks linked list of point nodes, sums 1/(dist-param5) over sample offsets (DAT_01385d2c table), outputs finite-difference gradient vector to param_1[0..2]
00883280	ListSentinel_Ctor_sz68_00883280	medium	malloc(0x68); self-referential next/prev = empty circular list sentinel ctor
00883300	ListSentinel_Ctor_sz28_00883300	medium	malloc(0x28); self-referential next/prev = empty circular list sentinel ctor
00883340	ListSentinel_Ctor_sz44_00883340	medium	malloc(0x44); self-referential next/prev = empty circular list sentinel ctor
008833c0	PtrHolder_Alloc_sz20_008833c0	low	Zeroes *param_1, malloc(0x20), stores ptr; opaque allocate-and-store ctor
008833f0	PtrHolder_Alloc_sz14_008833f0	low	Zeroes *param_1, malloc(0x14), stores ptr; opaque allocate-and-store ctor
00883be0	ListSentinel_Ctor_sz68_00883be0	medium	malloc(0x68); self-referential next/prev = empty circular list sentinel ctor
00883c60	ListSentinel_Ctor_sz28_00883c60	medium	malloc(0x28); self-referential next/prev = empty circular list sentinel ctor
00883ca0	ListSentinel_Ctor_sz44_00883ca0	medium	malloc(0x44); self-referential next/prev = empty circular list sentinel ctor
00884180	ListSentinel_Ctor_sz68_00884180	medium	malloc(0x68); self-referential next/prev = empty circular list sentinel ctor (void return)
008841a0	ListSentinel_Ctor_sz28_008841a0	medium	malloc(0x28); self-referential next/prev = empty circular list sentinel ctor (void return)
008841c0	ListSentinel_Ctor_sz44_008841c0	medium	malloc(0x44); self-referential next/prev = empty circular list sentinel ctor (void return)
008841e0	StdList_Ctor_sz14_008841e0	medium	malloc(0x14) proxy node, count=0, node[8]/node[c]=self (next/prev sentinel), node[0]/node[4]=0 = std::list default ctor
00884620	StdList_Ctor_sz20_00884620	medium	malloc(0x20) proxy node, count=0, sentinel next/prev self = std::list default ctor
008aee40	PtrHolder_Alloc_sz18_008aee40	low	Zeroes *param_1, malloc(0x18), stores ptr; opaque allocate-and-store ctor
008aefe0	StdList_Ctor_sz18_008aefe0	medium	malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008afcc0	StdList_Ctor_sz18_008afcc0	medium	malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b22d0	PtrHolder_Alloc_sz18_008b22d0	low	Zeroes *param_1, malloc(0x18), stores ptr; opaque allocate-and-store ctor
008b2340	PtrHolder_Alloc_sz18_008b2340	low	Zeroes *param_1, malloc(0x18), stores ptr; opaque allocate-and-store ctor
008b23b0	PtrHolder_Alloc_sz18_008b23b0	low	Zeroes *param_1, malloc(0x18), stores ptr; opaque allocate-and-store ctor
008b2790	StdList_Ctor_sz18_008b2790	medium	malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2820	StdList_Ctor_sz18_008b2820	medium	malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b28b0	StdList_Ctor_sz18_008b28b0	medium	malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2c20	StdList_Ctor_sz18_008b2c20	medium	malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2cb0	StdList_Ctor_sz18_008b2cb0	medium	malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
